id,cliente_id,endereco
1,179,"Pátio de da Paz, 82, Pousada Santo Antonio, 79572-935 Azevedo / PI"
2,256,"Passarela de Barros, 7, Alto Caiçaras, 95437-126 Marques / AC"
3,550,"Campo de Pires, 49, Jardim Guanabara, 58183417 Albuquerque / DF"
4,995,"Residencial Cirino, 68, Santa Inês, 60735-654 Souza Alegre / GO"
5,1816,"Recanto Giovanna Pacheco, 6, Vila Aeroporto, 93239-689 Silveira de Goiás / RJ"
6,2762,"Recanto Alícia Nunes, Rio Branco, 94716240 Moreira / AL"
7,2499,"Esplanada Ramos, 135, Ventosa, 29667758 Fonseca do Norte / AP"
8,918,"Conjunto de Gomes, 32, São Jorge 3ª Seção, 45951101 Cavalcante / BA"
9,2707,"Avenida de Moraes, 9, Outro, 37748509 Fogaça / TO"
10,2804,"Alameda de Campos, 10, Santa Rosa, 39001-999 Caldeira / SP"
11,447,"Fazenda de Vasconcelos, 21, Mineirão, 35668169 Santos da Prata / AL"
12,2113,"Rodovia de Martins, 44, Vila Madre Gertrudes 3ª Seção, 93319-939 Pastor / RS"
13,1743,"Setor Vicente Fernandes, 5, Petropolis, 23422-729 Ribeiro de Dias / RR"
14,2645,"Travessa Brito, Petropolis, 78640-900 da Conceição / RO"
15,2598,"Colônia Lima, Horto Florestal, 15740027 Silveira / SE"
16,1174,"Vila Evelyn Fogaça, 6, Vila Inestan, 41040887 Sales / RO"
17,2798,"Vila Alves, 96, Lagoinha Leblon, 80551683 Siqueira da Mata / PA"
18,1386,"Favela Emilly Gonçalves, 39, Salgado Filho, 02917279 Vasconcelos / SP"
19,2022,"Setor Maysa da Rosa, 6, Cardoso, 05023-585 Nogueira do Campo / BA"
20,2808,"Via de da Rosa, Santa Monica, 53416485 Mendes das Flores / MG"
21,788,"Favela Júlia Novais, 44, Etelvina Carneiro, 07381-145 Ramos Verde / AM"
22,669,"Aeroporto de Rocha, 9, Vila Primeiro De Maio, 92778-816 Borges / PA"
23,1527,"Sítio de da Paz, 3, Monte Azul, 31497833 Vargas / RR"
24,2283,"Largo de Oliveira, 442, Floresta, 16490230 da Mota da Prata / MA"
25,1461,"Alameda de Moreira, 59, Parque São José, 90443228 Fonseca da Serra / MG"
26,2939,"Feira Sofia Caldeira, 8, Vila Sesc, 03717313 da Mota / SC"
27,1795,"Trevo Moraes, 27, Nova Gameleira, 63330221 Mendes da Serra / RJ"
28,1601,"Parque Yuri Fonseca, São Gabriel, 35499506 Pastor Grande / TO"
29,1798,"Estação Yago Santos, 46, São Luiz, 05360-848 Correia de Vieira / PB"
30,2717,"Rua Isabel Moreira, 5, Beira Linha, 13771736 Macedo / AP"
